집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210406,02,1,1,26,1,35,0,0,0,2,0,37,
20210406,02,1,1,43,1,34,2,1,5,1,0,43,
20210406,02,1,1,01,0,15,1,2,13,6,3,40,
20210406,02,1,1,34,0,13,0,0,5,0,0,18,
20210406,02,1,1,11,0,47,0,4,2,2,4,59,
20210406,02,1,1,18,0,18,4,3,22,8,2,57,
20210406,02,1,1,28,0,38,0,2,2,0,1,43,
20210406,02,1,1,37,0,8,0,0,8,5,1,22,
20210406,02,1,1,46,0,1,0,0,0,1,0,2,
20210406,02,1,2,00,0,5459,1387,709,1492,1515,217,10779,
20210406,02,1,2,00,1,1798,279,90,236,415,83,2901,
20210406,02,1,2,10,0,262,31,24,28,24,8,377,
20210406,02,1,2,10,1,35,6,2,2,0,0,45,
20210406,02,1,2,44,0,163,35,13,21,61,6,299,
20210406,02,1,2,44,1,8,0,0,0,0,0,8,
20210406,02,1,2,27,1,74,6,0,0,3,2,85,
20210406,02,1,2,08,0,149,22,6,15,35,8,235,
20210406,02,1,2,08,1,1,0,0,0,0,0,1,
20210406,02,1,2,26,1,47,3,0,0,0,4,54,
20210406,02,1,2,43,1,147,27,4,23,22,8,231,
20210406,02,1,2,01,0,571,68,70,202,233,8,1152,
20210406,02,1,2,34,0,134,14,20,19,40,7,234,
20210406,02,1,2,11,0,226,53,32,25,28,13,377,
20210406,02,1,2,18,0,185,38,52,60,121,9,465,
20210406,02,1,2,28,0,141,14,13,11,8,8,195,
20210406,02,1,2,37,0,22,10,3,21,32,0,88,
20210406,02,1,2,46,0,17,4,11,9,12,0,53,
20210406,03,0,1,00,0,1172,117,185,657,240,11,2382,
20210406,03,0,1,00,1,362,38,30,77,43,32,582,
20210406,03,0,1,10,0,35,3,4,8,0,2,52,
20210406,03,0,1,10,1,2,1,0,0,0,1,4,
20210406,03,0,1,44,0,23,5,3,5,7,4,47,
20210406,03,0,1,44,1,1,0,0,0,0,1,2,
20210406,03,0,1,08,0,36,1,5,11,11,2,66,
20210406,03,0,1,08,1,0,1,0,0,0,0,1,
20210406,03,0,1,26,1,27,0,1,0,0,2,30,
20210406,03,0,1,43,1,1,0,0,0,0,0,1,
20210406,03,0,1,01,0,17,1,1,19,3,0,41,
20210406,03,0,1,34,0,12,1,0,4,0,1,18,
20210406,03,0,1,11,0,54,1,6,12,3,0,76,
20210406,03,0,1,18,0,25,8,17,29,9,4,92,
20210406,03,0,1,28,0,35,3,2,9,0,2,51,
20210406,03,0,1,37,0,7,3,1,10,4,1,26,
20210406,03,0,1,46,0,2,0,0,0,0,0,2,
20210406,03,0,2,00,0,6102,1781,1084,1982,3121,216,14286,
20210406,03,0,2,00,1,1878,385,144,240,489,84,3220,
20210406,03,0,2,24,1,2,0,2,0,0,0,4,
20210406,03,0,2,10,0,255,52,25,52,29,18,431,
20210406,03,0,2,10,1,31,1,2,2,2,1,39,
20210406,03,0,2,44,0,165,38,18,30,95,19,365,
20210406,03,0,2,44,1,5,0,0,0,0,1,6,
20210406,03,0,2,27,1,74,3,4,0,2,7,90,
20210406,03,0,2,08,0,149,21,15,13,74,5,277,
20210406,03,0,2,08,1,2,0,0,0,0,0,2,
20210406,03,0,2,26,1,35,1,0,0,0,4,40,
20210406,03,0,2,43,1,18,0,0,0,4,0,22,
20210406,03,0,2,01,0,567,98,82,295,336,14,1392,
20210406,03,0,2,34,0,138,34,31,22,55,4,284,
20210406,03,0,2,11,0,247,61,44,48,54,5,459,
20210406,03,0,2,18,0,254,62,83,82,180,16,677,
20210406,03,0,2,28,0,143,33,13,15,16,5,225,
20210406,03,0,2,37,0,36,6,2,19,95,0,158,
20210406,03,0,2,46,0,9,6,7,8,9,1,40,
20210406,03,1,1,00,0,1112,102,101,599,106,80,2100,
20210406,03,1,1,00,1,337,31,36,80,24,27,535,
20210406,03,1,1,24,1,4,0,0,0,0,0,4,
20210406,03,1,1,10,0,28,2,2,2,0,2,36,
20210406,03,1,1,10,1,3,0,0,1,0,1,5,
20210406,03,1,1,44,0,21,6,2,5,1,6,41,
20210406,03,1,1,44,1,0,1,0,0,0,0,1,
20210406,03,1,1,08,0,24,1,6,13,4,6,54,
20210406,03,1,1,08,1,3,0,0,0,2,0,5,
20210406,03,1,1,26,1,20,3,1,0,1,3,28,
20210406,03,1,1,43,1,19,1,3,10,4,0,37,
20210406,03,1,1,01,0,17,0,3,12,3,5,40,
20210406,03,1,1,34,0,10,2,1,3,0,1,17,
20210406,03,1,1,11,0,53,1,5,9,1,2,71,
20210406,03,1,1,18,0,29,6,12,22,14,4,87,
20210406,03,1,1,28,0,31,4,2,5,2,4,48,
20210406,03,1,1,37,0,7,2,1,7,2,0,19,
20210406,03,1,1,46,0,0,1,0,0,0,0,1,
20210406,03,1,2,00,0,5244,1576,878,1580,1945,205,11428,
20210406,03,1,2,00,1,1784,300,123,308,551,95,3161,
20210406,03,1,2,10,0,222,46,22,39,20,15,364,
20210406,03,1,2,10,1,19,4,1,2,2,1,29,
20210406,03,1,2,44,0,156,38,14,35,84,9,336,
20210406,03,1,2,44,1,6,0,0,0,0,1,7,
20210406,03,1,2,27,1,56,3,5,1,3,2,70,
20210406,03,1,2,08,0,106,14,16,23,56,5,220,
20210406,03,1,2,08,1,1,1,0,0,0,0,2,
20210406,03,1,2,26,1,33,0,0,0,0,3,36,
20210406,03,1,2,43,1,142,33,6,20,49,4,254,
20210406,03,1,2,01,0,546,96,74,262,321,17,1316,
20210406,03,1,2,34,0,124,26,24,15,59,2,250,
20210406,03,1,2,11,0,214,46,41,32,36,9,378,
20210406,03,1,2,18,0,219,54,72,76,194,13,628,
20210406,03,1,2,28,0,136,32,15,20,15,5,223,
20210406,03,1,2,37,0,33,6,2,16,40,0,97,
20210406,03,1,2,46,0,8,6,7,7,10,0,38,
20210406,04,0,1,00,0,2049,181,352,995,306,30,3913,
20210406,04,0,1,00,1,598,48,70,127,85,58,986,
20210406,04,0,1,10,0,63,3,8,13,6,2,95,
20210406,04,0,1,10,1,12,0,0,2,0,2,16,
20210406,04,0,1,44,0,36,6,9,17,12,4,84,
